protein	logFC	se	df	t	pval	adjPval	group1	group2	batch	gene	Synonyms	GO cellular component	GO biological process	GO molecular function	Description	Interpro terms	bait	control	sphere	Description.x	Cluster order	Unique identifier	Protein	Description.y	Symbol	Residue	Localization probability	Sequence window (-15, +15)	Tryptic phosphopeptides with phosphorylation localization probability
Q9FR53	2.816390197193627	0.06516924089543533	9.597164827984251	43.21655674511465	2.541585730095132e-12	5.205868702332787e-11	At_35S_RAPTOR_suc_24h	At_35S_GFP_suc_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FZ76	1.4802864958855433	0.2328414726170892	12.064771921574456	6.357486401573716	3.5353781416874436e-5	9.333398294054852e-5	At_35S_RAPTOR_suc_24h	At_35S_GFP_suc_24h	R0722	AT1G18540	F25I16.12;<br>F25I16_12	cytosolic large ribosomal subunit; cytosolic ribosome; endoplasmic reticulum; nucleus; plasma membrane; plasmodesma; ribonucleoprotein complex; ribosome	translation	mRNA binding; structural constituent of ribosome	Ribosomal protein L6 family protein [Source:NCBI gene (formerly Entrezgene);Acc:838435]	60S ribosomal protein L6E; Ribosomal protein L6, N-terminal; Translation protein SH3-like domain superfamily; Ribosomal protein L2, domain 2; Ribosomal Protein L6, KOW domain	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P29514	2.0668289157568975	0.08700041091955042	10.058266170599952	23.756541996888977	3.6169562117229477e-10	2.072481019064403e-9	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT5G12250	beta-6 tubulin;<br>MXC9.21;<br>MXC9_21	cytoplasm; cytoskeleton; microtubule; microtubule cytoskeleton; plastid	cytoskeleton organization; microtubule-based process; response to cold	GTP binding; GTPase activity; metal ion binding; mRNA binding; nucleotide binding; structural constituent of cytoskeleton	beta-6 tubulin [Source:NCBI gene (formerly Entrezgene);Acc:831100]	Tubulin; Beta tubulin; Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, C-terminal; Beta tubulin, autoregulation binding site; Tubulin, conserved site; Tubulin/FtsZ, 2-layer sandwich domain; Tubulin, C-terminal; Tubulin/FtsZ, GTPase domain superfamily; Tubulin/FtsZ-like, C-terminal domain	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08112	2.741535269489602	0.21243234763338617	10.229580256704809	12.905451076692517	1.1675028775781657e-7	3.1909357789022865e-7	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT1G04270	cytosolic ribosomal protein S15;<br>F19P19.29;<br>F19P19_29;<br>RIBOSOMAL PROTEIN S15	cytoplasm; cytosolic ribosome; cytosolic small ribosomal subunit; extracellular region; plant-type vacuole; plasmodesma; polysomal ribosome; ribonucleoprotein complex; ribosome; small ribosomal subunit	translation	mRNA binding; RNA binding; structural constituent of ribosome	cytosolic ribosomal protein S15 [Source:NCBI gene (formerly Entrezgene);Acc:839564]	Ribosomal protein S19/S15; Ribosomal protein S19A/S15e; Ribosomal protein S15/S19, conserved site; Ribosomal protein S19/S15, superfamily	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FHG2	2.087222433001678	0.1186804814536098	12.589592982073537	17.586905676798576	3.08765981324262e-10	1.809937429999457e-9	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT5G46430	K11I1.2;<br>K11I1_2	cytosolic large ribosomal subunit; plastid; ribonucleoprotein complex; ribosome	translation	mRNA binding; structural constituent of ribosome	Ribosomal protein L32e [Source:NCBI gene (formerly Entrezgene);Acc:834686]	Ribosomal protein L32e; Ribosomal protein L32e, conserved site; Ribosomal protein L32e superfamily	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.2529277373714602	0.07372634726591114	9.597164827984251	16.99430100412389	1.7489645129157164e-8	6.040028608557766e-8	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FVQ1	1.2341315959890695	0.16002681400310945	13.753848486375473	7.712030034948328	2.3409568772872876e-6	5.04423839821759e-6	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT1G48920	ATNUC-L1;<br>F27K7.6;<br>F27K7_6;<br>NUC1;<br>nucleolin 1;<br>nucleolin like 1;<br>PARALLEL 1;<br>PARL1	mitochondrion; nucleolus; nucleus	cotyledon vascular tissue pattern formation; leaf development; leaf vascular tissue pattern formation; petal vascular tissue pattern formation; ribosome biogenesis; root development; rRNA processing; sepal vascular tissue pattern formation; shoot system development	DNA binding; mRNA binding; nucleic acid binding; protein binding; RNA binding	nucleolin like 1 [Source:NCBI gene (formerly Entrezgene);Acc:841314]	RNA recognition motif domain; Nucleotide-binding alpha-beta plait domain superfamily; NUCL, RNA recognition motif 1; NUCL, RNA recognition motif 2; RNA-binding domain superfamily	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LV27	3.863874776114794	0.09014189444807758	11.456419653167195	42.86436179062573	5.2132575222456634e-14	2.3820576678568648e-12	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT3G18140	Lethal with Sec Thirteen 8-1	endosome; membrane; TORC1 complex; TORC2 complex	long-day photoperiodism; regulation of inositol biosynthetic process; regulation of raffinose biosynthetic process; response to stimulus; TOR signaling	protein binding	Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821339]	WD40 repeat; WD40/YVTN repeat-like-containing domain superfamily; WD40 repeat, conserved site; G-protein beta WD-40 repeat; WD40-repeat-containing domain superfamily; Target of rapamycin complex subunit LST8	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9M339	2.1237780072256367	0.23490942412191135	12.698856948946778	9.040837825746216	6.84978101975804e-7	1.6030404612460307e-6	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT3G53870	NA	cytosol; cytosolic ribosome; cytosolic small ribosomal subunit; plasmodesma; polysomal ribosome; ribonucleoprotein complex; ribosome; small ribosomal subunit	translation	mRNA binding; RNA binding; structural constituent of ribosome	Ribosomal protein S3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:824554]	Ribosomal protein S3, C-terminal; K Homology domain, type 2; Ribosomal protein S3, eukaryotic/archaeal; K homology domain superfamily, prokaryotic type; K homology domain-like, alpha/beta; Ribosomal protein S3, C-terminal domain superfamily	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9SRX2	1.1753095950740615	0.15795797820843693	13.258708158114588	7.440647243048121	4.3593818606612295e-6	9.001643656660847e-6	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT1G02780	embryo defective 2386;<br>T14P4.34	cytosol; cytosolic large ribosomal subunit; cytosolic ribosome; extracellular region; nucleolus; plasmodesma; polysomal ribosome; ribonucleoprotein complex; ribosome	translation	mRNA binding; RNA binding; structural constituent of ribosome	Ribosomal protein L19e family protein [Source:NCBI gene (formerly Entrezgene);Acc:839407]	Ribosomal protein L19/L19e; Ribosomal protein L19/L19e, domain 1; Ribosomal protein L19/L19e conserved site; Ribosomal protein L19, eukaryotic; Ribosomal protein L19/L19e superfamily; 60S ribosomal protein L19	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LJV8	1.73248360034251	0.10652419165533451	14.024871610645633	16.263757306397274	1.6925579669551602e-10	1.0888585910159182e-9	At_35S_LST8_suc_24h	At_35S_LST8_ctrl_24h	R0722	AT3G29075	NA	NA	biological_process	phosphatidic acid binding	glycine-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:822552]	PLD-regulated protein1-like	Q9LV27	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.0570304607124543	0.0851979366074981	9.597164827984251	12.406761276181271	3.1712393347201906e-7	1.0091336597270322e-5	At_35S_RAPTOR_ctrl_24h	At_35S_LST8_ctrl_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q93YQ1	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q93YQ1	3.5042413345373458	0.06413138073562888	10.929077623150814	54.64160126199383	1.1235141360660984e-14	1.310705859213488e-12	At_35S_RAPTOR_suc_24h	At_35S_LST8_suc_24h	R0722	AT3G08850	ATRAPTOR1B;<br>RAPTOR1B	Cul4-RING E3 ubiquitin ligase complex; cytoplasm; TORC1 complex	embryo development ending in seed dormancy; maintenance of shoot apical meristem identity; negative regulation of autophagy; TOR signaling	kinase binding; protein binding	Regulatory-associated protein of TOR 1 [Source:NCBI gene (formerly Entrezgene);Acc:820032]	WD40 repeat; Regulatory associated protein of TOR; Armadillo-like helical; WD40/YVTN repeat-like-containing domain superfamily; Armadillo-type fold; Raptor, N-terminal CASPase-like domain; WD40-repeat-containing domain superfamily	Q93YQ1	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.4264179584330023	0.07418063870016828	9.597164827984251	19.228979197637543	5.512206726165662e-9	4.699881524414933e-8	At_35S_RAPTOR_suc_24h	At_35S_LST8_suc_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q93YQ1	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FZ76	1.4760560124112485	0.23331002931908448	12.064771921574456	6.3265862025696835	3.702368308193577e-5	1.2240482978109375e-4	At_35S_RAPTOR_suc_24h	At_35S_LST8_suc_24h	R0722	AT1G18540	F25I16.12;<br>F25I16_12	cytosolic large ribosomal subunit; cytosolic ribosome; endoplasmic reticulum; nucleus; plasma membrane; plasmodesma; ribonucleoprotein complex; ribosome	translation	mRNA binding; structural constituent of ribosome	Ribosomal protein L6 family protein [Source:NCBI gene (formerly Entrezgene);Acc:838435]	60S ribosomal protein L6E; Ribosomal protein L6, N-terminal; Translation protein SH3-like domain superfamily; Ribosomal protein L2, domain 2; Ribosomal Protein L6, KOW domain	Q93YQ1	Q9LV27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P29514	1.0183055387324749	0.08734504141628661	10.058266170599952	11.658424132850644	3.631767456719009e-7	1.4642103185233652e-6	At_35S_RAPTOR_suc_24h	At_35S_RAPTOR_ctrl_24h	R0722	AT5G12250	beta-6 tubulin;<br>MXC9.21;<br>MXC9_21	cytoplasm; cytoskeleton; microtubule; microtubule cytoskeleton; plastid	cytoskeleton organization; microtubule-based process; response to cold	GTP binding; GTPase activity; metal ion binding; mRNA binding; nucleotide binding; structural constituent of cytoskeleton	beta-6 tubulin [Source:NCBI gene (formerly Entrezgene);Acc:831100]	Tubulin; Beta tubulin; Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, C-terminal; Beta tubulin, autoregulation binding site; Tubulin, conserved site; Tubulin/FtsZ, 2-layer sandwich domain; Tubulin, C-terminal; Tubulin/FtsZ, GTPase domain superfamily; Tubulin/FtsZ-like, C-terminal domain	Q93YQ1	Q93YQ1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08112	2.838225513991123	0.19582387996347544	10.229580256704809	14.493766105137444	3.7689375554582386e-8	1.8972448372391474e-7	At_35S_RAPTOR_suc_24h	At_35S_RAPTOR_ctrl_24h	R0722	AT1G04270	cytosolic ribosomal protein S15;<br>F19P19.29;<br>F19P19_29;<br>RIBOSOMAL PROTEIN S15	cytoplasm; cytosolic ribosome; cytosolic small ribosomal subunit; extracellular region; plant-type vacuole; plasmodesma; polysomal ribosome; ribonucleoprotein complex; ribosome; small ribosomal subunit	translation	mRNA binding; RNA binding; structural constituent of ribosome	cytosolic ribosomal protein S15 [Source:NCBI gene (formerly Entrezgene);Acc:839564]	Ribosomal protein S19/S15; Ribosomal protein S19A/S15e; Ribosomal protein S15/S19, conserved site; Ribosomal protein S19/S15, superfamily	Q93YQ1	Q93YQ1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
