protein	logFC	se	df	t	pval	adjPval	group1	group2	batch	gene	Synonyms	GO cellular component	GO biological process	GO molecular function	Description	Interpro terms	bait	control	sphere	Description.x	Cluster order	Unique identifier	Protein	Description.y	Symbol	Residue	Localization probability	Sequence window (-15, +15)	Tryptic phosphopeptides with phosphorylation localization probability
Q9LIH5	1.734247655668568	0.2357280560459044	12.555469733628426	7.356984504767011	6.762070815831388e-6	3.42329835051464e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G18640	NA	NA	biological_process	DNA binding; metal ion binding; molecular_function	Zinc finger C-x8-C-x5-C-x3-H type family protein [Source:NCBI gene (formerly Entrezgene);Acc:821395]	Zinc finger, CCCH-type	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LZC3	1.0745720906708034	0.10002714809856617	12.669504713145605	10.74280443957001	9.926869139535541e-8	9.080101504096055e-7	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G03860	malate synthase;<br>MED24.5	glyoxysome; peroxisome	glyoxylate cycle; tricarboxylic acid cycle	catalytic activity; malate synthase activity; transferase activity	malate synthase [Source:NCBI gene (formerly Entrezgene);Acc:831690]	Malate synthase; Malate synthase A; Malate synthase superfamily; Malate synthase, conserved site; Malate synthase, C-terminal superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9M4B5	1.1059882526965898	0.11565824365612729	13.938838048483996	9.562554451240771	1.6822463858194673e-7	1.3814576311199496e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G08780	ABI3-interacting protein 3;<br>F22O13.27;<br>F22O13_27;<br>PFD4;<br>PREFOLDIN 4	cytoplasm; nucleus; prefoldin complex	cellular response to gibberellin stimulus; cold acclimation; cortical microtubule organization; mRNA processing; protein folding; response to cold; response to salt stress	Hsp90 protein binding; protein binding; unfolded protein binding	ABI3-interacting protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:837400]	Prefoldin beta-like; Prefoldin, subunit 4	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1I9LM38	3.6741148030698607	0.28957880682848575	13.164439306356156	12.687789010906442	9.262876081445633e-9	1.2504882709951605e-7	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G01920	F28J7.25	NA	NA	double-stranded RNA binding	DHBP synthase RibB-like alpha/beta domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:821220]	YrdC-like domain; DHBP synthase RibB-like alpha/beta domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1P8B4Y6	1.0629613189536866	0.17009359746432956	13.935190454350687	6.2492729579465855	2.1746081668866373e-5	9.810510768080982e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G21660	F17L22.120<br>F17L22_120	catalytic step 2 spliceosome; membrane; nucleus; precatalytic spliceosome; U2 snRNP; U2-type spliceosomal complex	mRNA splicing, via spliceosome	protein binding	proline-rich spliceosome-associated (PSP) family protein [Source:NCBI gene (formerly Entrezgene);Acc:828253]	PSP, proline-rich; Domain of unknown function DUF382	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LDI9	2.3794083183618	0.2676680776443738	10.794059910862831	8.88939891264547	2.7064762704342445e-6	1.5812920373487947e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G69250	F4N2.20	cytoplasm; intracellular organelle; mitochondrion	NA	mRNA binding; nucleic acid binding; RNA binding	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843256]	RNA recognition motif domain; Nuclear transport factor 2 domain; Nucleotide-binding alpha-beta plait domain superfamily; Nuclear transport factor 2, eukaryote; NTF2-like domain superfamily; RNA-binding domain superfamily; Ras GTPase-activating protein-binding protein	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LSU4	2.239673641217746	0.24723154561758168	11.93200583972539	9.0590124153577	1.0754466578493842e-6	7.124334365381422e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G25580	NA	NA	NA	molecular_function	Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822145]	Thioredoxin domain; Thioredoxin-like superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1A6M1	1.3793196254246876	0.1437236413170256	9.915373699450328	9.5970267158914	2.467146990713072e-6	1.2817655794316894e-5	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G13670	F18A5.60;<br>F18A5_60;<br>plastid transcriptionally active 5	chloroplast; chloroplast envelope; chloroplast nucleoid; chloroplast thylakoid; chloroplast thylakoid membrane; cytosol; plastid; plastid-encoded plastid RNA polymerase complex	chloroplast organization; plastid transcription; regulation of DNA-templated transcription; response to heat; response to light stimulus	isomerase activity; metal ion binding; protein binding; protein disulfide isomerase activity	plastid transcriptionally active 5 [Source:NCBI gene (formerly Entrezgene);Acc:827001]	Peptidoglycan binding-like; PGBD-like superfamily; PGBD superfamily; Heat shock protein DnaJ, cysteine-rich domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42643	1.0233680111805152	0.21540908327942596	14.508338070773704	4.750811783795649	2.8162901449340093e-4	9.559293406233151e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G09000	general regulatory factor 1;<br>GENERAL REGULATORY FACTOR1-G-BOX FACTOR 14-3-3 HOMOLOG ISOFORM CHI;<br>GF14 CHI	cytoplasm; nucleus	regulation of metabolic process; signal transduction	protein binding	ral regulatory factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:826479]	14-3-3 protein; 14-3-3 protein, conserved site; 14-3-3 domain; 14-3-3 domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61837	1.6797656777662942	0.19813948696474631	12.613701913864132	8.477692677508365	1.4584237991777375e-6	8.021330895477556e-6	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G61430	ARABIDOPSIS THALIANA PLASMA MEMBRANE INTRINSIC PROTEIN 1;<br>ATPIP1;<br>PIP1;<br>PIP1;1;<br>PLASMA MEMBRANE INTRINSIC PROTEIN 1;<br>PLASMA MEMBRANE INTRINSIC PROTEIN 1;1;<br>plasma membrane intrinsic protein 1A	chloroplast envelope; membrane; mitochondrion; plant-type vacuole; plasma membrane; plasmodesma	response to water deprivation; transmembrane transport; water transport	channel activity; water channel activity	plasma membrane intrinsic protein 1A [Source:NCBI gene (formerly Entrezgene);Acc:825316]	Major intrinsic protein; Major intrinsic protein, conserved site; Aquaporin-like; Aquaporin transporter	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8VZM1	1.2098815669028329	0.19825047278988872	13.049495924368143	6.102792845216054	3.702038031794996e-5	1.4824790500356588e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G80410	EMBRYO DEFECTIVE 2753;<br>OMA;<br>OMISHA;<br>T21F11.26;<br>T21F11_26	cytoplasm	NA	protein binding	tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844381]	Tetratricopeptide repeat 1; Tetratricopeptide-like helical domain superfamily; Tetratricopeptide repeat; N-terminal acetyltransferase A, auxiliary subunit	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8W4D8	2.192189860431512	0.1472930539645941	14.09829342452766	14.883185604654953	5.1297069683602e-10	8.310125288743524e-9	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G20550	DAWDLE	nucleus	cell division; miRNA processing; regulation of developmental growth; RNA-mediated gene silencing	protein binding; RNA binding	SMAD/FHA domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:821601]	Forkhead-associated (FHA) domain; SMAD/FHA domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q94K75	2.5758103708766105	0.3731806760617816	12.744170092009544	6.902314444733399	1.2009131358169525e-5	5.194240796179148e-5	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G06190	F9P14.5;<br>F9P14_5;<br>Rho-N 1	chloroplast; extracellular region; plastid	chloroplast mRNA processing; chloroplast rRNA processing; DNA-templated transcription termination	mRNA binding; protein binding; protein self-association; RNA binding; rRNA binding	Rho termination factor [Source:NCBI gene (formerly Entrezgene);Acc:837128]	Rho termination factor, N-terminal	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96299	1.1104509913293528	0.19274321132509065	13.640936594036992	5.761297550741794	5.453732119005536e-5	2.09001088947696e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT2G42590	F14N22.14;<br>F14N22_14;<br>general regulatory factor 9;<br>GF14 MU	cytoplasm; nucleus	signal transduction	protein binding	ral regulatory factor 9 [Source:NCBI gene (formerly Entrezgene);Acc:818859]	14-3-3 protein; 14-3-3 protein, conserved site; 14-3-3 domain; 14-3-3 domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9C6T1	1.0842056942048353	0.07850371769079129	9.49724110832331	13.810883434530844	1.3288877632785932e-7	9.733882430948955e-7	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G31910	F5M6.9;<br>F5M6_9	peroxisome	isopentenyl diphosphate biosynthetic process, mevalonate pathway; lipid metabolic process; phosphorylation; steroid biosynthetic process; steroid metabolic process; sterol biosynthetic process	ATP binding; kinase activity; nucleotide binding; phosphomevalonate kinase activity; transferase activity	GHMP kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:840081]	GHMP kinase N-terminal domain; GHMP kinase, C-terminal domain; Ribosomal protein S5 domain 2-type fold, subgroup; Phosphomevalonate kinase Erg8; Ribosomal protein S5 domain 2-type fold; Phosphomevalonate kinase; GHMP kinase, C-terminal domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FLQ4	1.7974000347732382	0.17695012126987403	10.262704150191135	10.157664893780709	1.1175496107289556e-6	6.403451467263662e-6	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G55070	MCO15.2;<br>MCO15_2	cytosolic ribosome; mitochondrion; oxoglutarate dehydrogenase complex; plastid	L-lysine catabolic process to acetyl-CoA via saccharopine; tricarboxylic acid cycle	acyltransferase activity; dihydrolipoyllysine-residue succinyltransferase activity; salicylic acid binding; transferase activity; zinc ion binding	Dihydrolipoamide succinyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:835598]	Biotin/lipoyl attachment; 2-oxoacid dehydrogenase acyltransferase, catalytic domain; 2-oxo acid dehydrogenase, lipoyl-binding site; Dihydrolipoamide succinyltransferase; Single hybrid motif; Chloramphenicol acetyltransferase-like domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FMD7	2.9683040105731107	0.14673036028050063	11.584309147451696	20.22965121123318	2.1316426269975663e-10	4.468926072129015e-9	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G16590	Leucine rich repeat protein 1;<br>LRR1;<br>MTG13.3;<br>MTG13_3	membrane; plant-type cell wall; plasma membrane; plasmodesma; plastid	phosphorylation; protein phosphorylation; response to symbiotic fungus	ATP binding; kinase activity; nucleotide binding; protein binding; protein kinase activity	Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:831521]	Protein kinase domain; Protein kinase-like domain superfamily; Leucine-rich repeat-containing N-terminal, plant-type; Leucine-rich repeat domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FMU6	1.1984105622083676	0.22379995031152808	10.956065195228144	5.354829438255853	2.3529477586360217e-4	8.078907333120214e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G14040	mitochondrial phosphate transporter 3;<br>MPT3;<br>MUA22.4;<br>MUA22_4;<br>phosphate transporter 3;1	membrane; mitochondrial inner membrane; mitochondrion; plant-type cell wall; plant-type vacuole	mitochondrial phosphate ion transmembrane transport; response to salt stress	inorganic phosphate transmembrane transporter activity; mRNA binding	phosphate transporter 3;1 [Source:NCBI gene (formerly Entrezgene);Acc:831252]	Mitochondrial substrate/solute carrier; Mitochondrial carrier domain superfamily; Mitochondrial phosphate carrier protein Pic2/Mir1-like	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.184174944067509	0.08108984541794155	9.597164827984251	14.603245794392697	7.131912513048734e-8	5.648474710334597e-7	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LEY9	1.3924769408117403	0.40769996424611654	10.22736670834821	3.415445334626379	0.00639010900046662	0.0172794753244788	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G08180	T22D6.120;<br>T22D6_120	nucleolus; nucleus; ribonucleoprotein complex; sno(s)RNA-containing ribonucleoprotein complex	ribosome biogenesis; rRNA processing; rRNA pseudouridine synthesis	mRNA binding; RNA binding	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830714]	H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote; Ribosomal protein L7Ae/L30e/S12e/Gadd45; Ribosomal protein L7Ae/L8/Nhp2 family; 50S ribosomal protein L30e-like	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LIH5	1.2334098542219174	0.22092121782018043	12.555469733628426	5.583030305517578	1.0094445357269472e-4	3.693696432577864e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G18640	NA	NA	biological_process	DNA binding; metal ion binding; molecular_function	Zinc finger C-x8-C-x5-C-x3-H type family protein [Source:NCBI gene (formerly Entrezgene);Acc:821395]	Zinc finger, CCCH-type	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9M4B5	1.056381088516767	0.11585379566935712	13.938838048483996	9.11822597104754	2.996812160098369e-7	1.9926564437669007e-6	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G08780	ABI3-interacting protein 3;<br>F22O13.27;<br>F22O13_27;<br>PFD4;<br>PREFOLDIN 4	cytoplasm; nucleus; prefoldin complex	cellular response to gibberellin stimulus; cold acclimation; cortical microtubule organization; mRNA processing; protein folding; response to cold; response to salt stress	Hsp90 protein binding; protein binding; unfolded protein binding	ABI3-interacting protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:837400]	Prefoldin beta-like; Prefoldin, subunit 4	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9T053	2.6335576454628655	0.2449819867445393	12.11008537575247	10.750005257362329	1.4992173172380356e-7	1.0686421037272716e-6	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G11850	maternal effect embryo arrest 54;<br>MEE54;<br>phospholipase D gamma 1	cytoplasm; cytosol; membrane; plasma membrane	embryo development ending in seed dormancy; innate immune response; lipid catabolic process; lipid metabolic process; membrane lipid metabolic process; phosphatidylcholine metabolic process; response to aluminum ion; response to oxidative stress	calcium ion binding; catalytic activity; hydrolase activity; metal ion binding; N-acylphosphatidylethanolamine-specific phospholipase D activity; phosphatidylinositol-4,5-bisphosphate binding; phospholipase D activity; protein binding	phospholipase D gamma 1 [Source:NCBI gene (formerly Entrezgene);Acc:826791]	C2 domain; Phospholipase D/Transphosphatidylase; Phospholipase D, plant; Phospholipase D family; Phospholipase D, C-terminal; C2 domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1I9LM38	3.5202486762725096	0.2833495966536334	13.164439306356156	12.423693973263926	1.1976822172645058e-8	1.1474568339598653e-7	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G01920	F28J7.25	NA	NA	double-stranded RNA binding	DHBP synthase RibB-like alpha/beta domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:821220]	YrdC-like domain; DHBP synthase RibB-like alpha/beta domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LSU4	2.040262113065388	0.24092406618995765	11.93200583972539	8.468486130633103	2.1735873612109244e-6	1.1596804424185231e-5	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G25580	NA	NA	NA	molecular_function	Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822145]	Thioredoxin domain; Thioredoxin-like superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
